"inegi","afro","indigena","resto"
"11018",0.12,0.14,99.74
"11019",0.85,0.11,99.04
"11020",0.37,0.51,99.12
"11021",0.05,0.09,99.86
"11022",0.11,0.3,99.59
"11023",0.63,0.19,99.18
"11024",0.07,0.24,99.69
"11025",0.42,0.51,99.06
"11026",0.17,0.18,99.65
"11027",0.51,0.19,99.3
"11028",0.22,0.41,99.37
"11029",0.12,0.21,99.67
"11030",0.41,0.38,99.21
"11031",0.64,0.66,98.7
"11032",0.4,0.34,99.26
"11033",0.16,3.55,96.29
"11034",0.71,0.6,98.69
"11035",0.26,0.2,99.54
"11036",0.38,0.09,99.53
"11037",0.2,0.28,99.52
"11038",0.56,0.12,99.32
"11039",0.07,0.13,99.8
"11040",0.2,2.54,97.26
"11041",0.1,0.13,99.76
"11042",0.24,0.18,99.58
"11043",0.52,0.57,98.91
"11044",0.45,0.77,98.78
"11045",0.02,0.21,99.77
"11046",0.13,0.24,99.62
"12001",11.04,4.13,84.83
"12002",4.55,32.01,63.44
"12003",0.19,0.43,99.39
"12004",0.62,94.97,4.41
"12005",4.17,26.84,68.99
"12006",3.03,1.61,95.36
"12007",0.31,1.59,98.1
"12008",3.2,19.18,77.62
"12009",0.77,99.11,0.13
"12010",5.14,70.7,24.16
"12011",2.29,2.75,94.96
"12012",18.14,39.22,42.63
"12013",23.26,14.56,62.19
"12014",7.14,1.65,91.21
"12015",3.57,2.03,94.4
"12016",0.52,0.28,99.2
"12017",0.19,1.13,98.68
"12018",28.16,4.68,67.16
"12019",14.28,74.54,11.18
"12020",1.49,97,1.51
"12021",5.78,1.28,92.93
"12022",0.13,0.29,99.58
"12023",64.24,7.68,28.08
"12024",1.42,52.67,45.91
"12025",16.62,1.61,81.77
"12026",0.69,3.45,95.86
"12027",0.29,0.5,99.21
"12028",6.78,36.46,56.76
"12029",5.89,5.87,88.25
"12030",34.36,1.91,63.73
"12031",1.03,0.37,98.6
"12032",0.59,1.29,98.11
"12033",1.04,26.56,72.4
"12034",3.41,11.74,84.84
"12035",3.21,4.46,92.33
"12036",31.26,27.03,41.71
"12037",1.7,0.2,98.11
"12038",9.92,3.41,86.67
"12039",3.17,1.65,95.18
"12040",1.4,0.35,98.25
"12041",8.1,90.8,1.1
"12042",3,49.37,47.62
"12043",1.7,98.22,0.08
"12044",7.85,1.53,90.62
"12045",9.36,48,42.64
"12046",12.11,37.17,50.72
"12047",0.23,0.24,99.53
"12048",1.81,1.8,96.39
"12049",2.68,0.29,97.03
"12050",0.79,1.8,97.41
"12051",1.42,11.25,87.34
"12052",10.88,59.21,29.92
"12053",14.01,1.56,84.42
"12054",0.89,0.49,98.61
"12055",2.61,3.3,94.09
"12056",2.53,2.87,94.6
"12057",1.29,1.23,97.48
"12058",1.33,3.07,95.59
"12059",1.36,17.93,80.71
"12060",4.09,0.26,95.64
"12061",5.76,26.45,67.78
"12062",10.33,82.38,7.29
"12063",0.8,92.71,6.49
"12064",0.7,0.25,99.05
"12065",12.69,27.52,59.79
"12066",12.38,65.92,21.7
"12067",1.24,0.03,98.73
"12068",2.68,0.4,96.92
"12069",1.16,95.08,3.76
"12070",0.41,2.52,97.08
"12071",7.13,88.19,4.69
"12072",6.81,91.08,2.1
"12073",0.18,0.1,99.72
"12074",5.12,67.04,27.85
"12075",15.38,17.74,66.88
"12076",2.49,97.29,0.22
"12077",33.65,7.27,59.09
"12078",0.51,99.41,0.07
"12079",0.42,98.68,0.89
"12080",42.71,6.56,50.73
"12081",29.83,67.88,2.29
"13001",0.31,1.28,98.41
"13002",0.93,51.97,47.1
"13003",0.27,10.88,88.85
"13004",0.5,1.73,97.77
"13005",1.76,1.23,97.01
"13006",0.66,39.54,59.79
"13007",0.4,0.52,99.08
"13008",0.41,0.64,98.95
"13009",0.27,5,94.73
"13010",0.72,1.16,98.11
"13011",0.32,92.06,7.62
"13012",0.18,0.83,98.99
"13013",0.63,1.93,97.44
"13014",0.12,44.77,55.11
"13015",0.41,82.11,17.48
"13016",0.29,1.51,98.19
"13017",0.24,1.36,98.4
"13018",0.34,14.97,84.69
"13019",1.81,65.98,32.21
"13020",0.15,1.48,98.37
"13021",1.84,0.97,97.19
"13022",0.34,1.88,97.77
"13023",0.66,6.87,92.46
"13024",0.28,1.16,98.56
"13025",0.15,93.75,6.11
"13026",0.18,90.52,9.3
"13027",0.15,66.64,33.21
"13028",0.42,77.33,22.25
"13029",0.56,3.15,96.3
"13030",0.4,62.63,36.98
"13031",0.36,1.74,97.9
"13032",2.48,95.57,1.95
"13033",0.19,2.43,97.38
"13034",0.04,32.55,67.41
"13035",0.32,2.71,96.97
"13036",0.11,0.99,98.9
"13037",0.73,12.88,86.39
"13038",0.87,1.97,97.16
"13039",3.91,0.58,95.51
"13040",0.18,1.37,98.45
"13041",1.45,6.31,92.24
"13042",0.4,2.67,96.93
"13043",0.31,80.59,19.1
"13044",0.58,0.44,98.98
"13045",0.36,1.06,98.59
"13046",0.37,82.45,17.18
